team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Uzbekistan,Azizbek Turgunboev,3,1.772,0.0,42.5,0.0417,0.0,2025-06-10
Poland,Krzysztof Piątek,8,1.77,0.0,40.6,0.0436,0.0,2024-06-21
Kyrgyzstan,Kai Merk,3,1.766,0.0,28.1,0.0628,0.0,2025-06-10
South Korea,Hwang In-beom,3,1.765,0.0,47.9,0.0368,0.0,2026-06-11
Croatia,Lovro Majer,5,1.763,0.0,45.5,0.0388,0.0,2023-11-18
Morocco,Achraf Hakimi,6,1.76,0.0,57.3,0.0307,0.0,2024-01-21
Belarus,Max Ebong,5,1.76,0.0,36.2,0.0487,0.0,2023-10-15
Denmark,Joachim Andersen,2,1.758,0.0,41.0,0.0429,0.0,2026-03-31
Mozambique,Stanley Ratifo,3,1.754,0.0,37.2,0.0472,0.0,2025-03-20
Gabon,Mario Lemina,3,1.753,0.0,31.5,0.0557,0.0,2025-11-13
Ivory Coast,Bazoumana Touré,2,1.751,0.0,46.1,0.038,0.0,2026-01-06
Cameroon,Christian Kofane,2,1.75,0.0,40.1,0.0437,0.0,2026-01-04
Senegal,Famara Diédhiou,6,1.749,0.0,51.4,0.034,0.0,2022-11-25
Portugal,Nuno Mendes,2,1.744,0.0,47.0,0.0371,0.0,2026-06-23
Algeria,Ibrahim Maza,2,1.743,0.0,53.4,0.0326,0.0,2025-12-31
Japan,Koki Ogawa,3,1.739,0.0,46.4,0.0375,0.0,2024-09-10
Australia,Connor Metcalfe,2,1.738,0.0,41.1,0.0423,0.0,2026-06-13
Greece,Petros Mantalos,6,1.737,0.0,36.4,0.0477,0.0,2024-10-13
Peru,Christian Cueva,11,1.601,0.133,40.0,0.04,0.0033,2021-11-16
Jamaica,Bailey Cadamarteri,2,1.734,0.0,50.0,0.0347,0.0,2026-03-26
Austria,Philipp Lienhart,3,1.731,0.0,41.4,0.0418,0.0,2024-10-13
Bahrain,Mohamed Marhoon,3,1.729,0.0,46.7,0.0371,0.0,2024-10-10
Dominica,Audel Laville,3,1.723,0.0,19.0,0.0906,0.0,2025-06-04
Benin,Jodel Dossou,3,1.722,0.0,33.0,0.0521,0.0,2026-01-05
Azerbaijan,Toral Bayramov,3,1.097,0.623,35.6,0.0308,0.0175,2024-10-14
Argentina,Nicolás Otamendi,5,1.709,0.0,46.5,0.0367,0.0,2024-10-10
United Arab Emirates,Ali Saleh,3,1.171,0.533,43.9,0.0267,0.0122,2024-09-05
Central African Republic,Louis Mafouta,3,1.702,0.0,23.0,0.0741,0.0,2024-06-10
Montenegro,Fatos Bećiraj,13,1.23,0.471,35.2,0.0349,0.0134,2021-11-16
Algeria,Amine Gouiri,2,1.7,0.0,53.4,0.0318,0.0,2026-06-22
Tunisia,Firas Chaouat,2,1.696,0.0,52.8,0.0321,0.0,2026-01-03
Italy,Alessandro Bastoni,3,1.695,0.0,41.7,0.0406,0.0,2025-09-05
Tunisia,Ismaël Gharbi,2,0.821,0.873,52.8,0.0155,0.0165,2025-12-30
Slovakia,Juraj Kucka,9,1.694,0.0,39.4,0.043,0.0,2023-11-16
Tunisia,Ali Abdi,2,0.0,1.694,52.8,0.0,0.032,2025-12-27
Israel,Oscar Gloukh,3,1.691,0.0,32.0,0.0528,0.0,2025-09-05
Suriname,Nigel Hasselbaink,7,1.691,0.0,26.1,0.0647,0.0,2021-07-20
Armenia,Henrikh Mkhitaryan,20,0.789,0.898,34.4,0.023,0.0261,2021-11-14
Curaçao,Jordi Paulina,2,0.842,0.842,33.6,0.0251,0.0251,2025-11-13
Switzerland,Silvan Widmer,4,1.683,0.0,45.1,0.0373,0.0,2025-09-05
Argentina,Alexis Mac Allister,3,1.683,0.0,46.5,0.0362,0.0,2025-03-25
Syria,Mahmoud Al-Mawas,12,1.106,0.573,38.4,0.0288,0.0149,2021-06-07
South Africa,Themba Zwane,4,1.674,0.0,49.4,0.0339,0.0,2024-06-07
Mozambique,Faisal Bangal,2,1.673,0.0,37.2,0.045,0.0,2025-12-28
DR Congo,Nathanaël Mbuku,2,1.672,0.0,44.0,0.038,0.0,2025-12-30
Nigeria,Frank Onyeka,2,1.668,0.0,48.4,0.0345,0.0,2025-11-16
United Arab Emirates,Caio Lucas,2,1.667,0.0,43.9,0.038,0.0,2025-11-18
Czech Republic,Adam Karabec,2,1.667,0.0,42.5,0.0392,0.0,2025-11-17
France,Jean-Philippe Mateta,2,1.667,0.0,47.7,0.035,0.0,2025-11-16
Trinidad and Tobago,Kobi Henry,2,1.666,0.0,43.4,0.0384,0.0,2025-11-18
Hungary,Dániel Lukács,2,1.666,0.0,38.7,0.0431,0.0,2025-11-16
Italy,Gianluca Mancini,2,1.666,0.0,41.7,0.0399,0.0,2025-11-13
Armenia,Grant-Leon Ranos,3,1.665,0.0,34.4,0.0485,0.0,2025-09-09
Slovenia,Žan Vipotnik,3,1.665,0.0,38.4,0.0433,0.0,2025-09-05
Czech Republic,Adam Hložek,3,1.658,0.0,42.5,0.039,0.0,2025-06-06
Iraq,Amir Al-Ammari,3,0.535,1.123,51.5,0.0104,0.0218,2025-11-18
Armenia,Tigran Barseghyan,8,0.787,0.866,34.4,0.0229,0.0252,2023-06-19
Panama,Rolando Blackburn,8,1.652,0.0,56.7,0.0292,0.0,2022-03-24
India,Sunil Chhetri,14,0.976,0.675,32.2,0.0303,0.021,2024-03-26
Turkey,Mert Müldür,3,1.647,0.0,43.9,0.0375,0.0,2025-09-04
Croatia,Kristijan Jakić,2,1.646,0.0,45.5,0.0362,0.0,2025-11-17
Trinidad and Tobago,Tyrese Spicer,2,1.644,0.0,43.4,0.0379,0.0,2025-10-14
Lesotho,Hlompho Kalake,2,1.644,0.0,30.0,0.0547,0.0,2025-10-13
Suriname,Dhoraso Klas,2,1.644,0.0,26.1,0.0629,0.0,2025-11-13
Portugal,Ricardo Horta,4,1.642,0.0,47.0,0.035,0.0,2023-11-19
Cape Verde,Willy Semedo,2,1.642,0.0,38.7,0.0425,0.0,2025-10-13
Kazakhstan,Galymzhan Kenzhebek,2,1.642,0.0,35.6,0.0461,0.0,2025-10-10
Jamaica,Renaldo Cephas,2,1.642,0.0,50.0,0.0328,0.0,2025-11-13
Denmark,Anders Dreyer,2,1.641,0.0,41.0,0.04,0.0,2025-10-09
Vietnam,Phạm Tuấn Hải,3,1.64,0.0,36.3,0.0452,0.0,2024-06-11
Eswatini,Justice Figuareido,2,1.639,0.0,25.8,0.0636,0.0,2025-10-08
Indonesia,Kevin Diks,2,0.0,1.639,41.6,0.0,0.0394,2025-10-08
Moldova,Mihail Caimacov,3,1.313,0.327,36.5,0.036,0.009,2025-03-25
