date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2022-09-28,Minnesota Twins,Chicago White Sox,-112,-109,0.50375,0.49625,0.05094,6
2022-09-28,New York Mets,Miami Marlins,-192,162,0.63293,0.36707,0.0398,6
2022-09-28,Pittsburgh Pirates,Cincinnati Reds,-120,100,0.52174,0.47826,0.04545,6
2022-09-28,San Diego Padres,Los Angeles Dodgers,-112,-106,0.50659,0.49341,0.04286,6
2022-09-28,San Francisco Giants,Colorado Rockies,-202,172,0.64591,0.35409,0.03639,6
2022-09-28,Seattle Mariners,Texas Rangers,-202,171,0.64465,0.35535,0.03843,6
2022-09-28,Toronto Blue Jays,New York Yankees,105,-128,0.46535,0.53465,0.04824,6
2022-09-28,Washington Nationals,Atlanta Braves,178,-212,0.34638,0.65362,0.04036,6
2022-09-29,Boston Red Sox,Baltimore Orioles,-152,130,0.58112,0.41888,0.03796,6
2022-09-29,Chicago Cubs,Philadelphia Phillies,155,-190,0.37465,0.62535,0.04673,6
2022-09-29,Cleveland Guardians,Tampa Bay Rays,111,-132,0.45404,0.54596,0.04383,6
2022-09-29,Detroit Tigers,Kansas City Royals,-135,110,0.54677,0.45323,0.05066,6
2022-09-29,Houston Astros,Arizona Diamondbacks,-168,145,0.60565,0.39435,0.03503,6
2022-09-29,Los Angeles Angels,Athletics,-187,156,0.62473,0.37527,0.04296,6
2022-09-29,Milwaukee Brewers,Miami Marlins,-172,144,0.60701,0.39299,0.04286,6
2022-09-29,Minnesota Twins,Chicago White Sox,-108,-111,0.49673,0.50327,0.0453,6
2022-09-29,San Diego Padres,Los Angeles Dodgers,131,-154,0.41626,0.58374,0.03997,6
2022-09-29,San Francisco Giants,Colorado Rockies,-166,139,0.59891,0.40109,0.04318,6
2022-09-29,Seattle Mariners,Texas Rangers,-180,148,0.61406,0.38594,0.0469,6
2022-09-30,Atlanta Braves,New York Mets,102,-125,0.47059,0.52941,0.04938,6
2022-09-30,Chicago Cubs,Cincinnati Reds,-162,136,0.59388,0.40612,0.04115,6
2022-09-30,Cleveland Guardians,Kansas City Royals,-140,119,0.56129,0.43871,0.04082,6
2022-09-30,Detroit Tigers,Minnesota Twins,135,-160,0.40852,0.59148,0.04165,6
2022-09-30,Los Angeles Angels,Athletics,-272,220,0.70068,0.29932,0.04404,6
2022-09-30,New York Yankees,Baltimore Orioles,-172,146,0.60847,0.39153,0.04036,6
2022-09-30,San Diego Padres,Los Angeles Dodgers,121,-144,0.43398,0.56602,0.04265,6
2022-09-30,San Francisco Giants,Colorado Rockies,-250,208,0.68715,0.31285,0.03949,6
2022-09-30,Seattle Mariners,Texas Rangers,-338,252,0.73113,0.26887,0.05512,6
2022-09-30,Toronto Blue Jays,Boston Red Sox,-217,172,0.65101,0.34899,0.05152,6
2022-10-01,Atlanta Braves,New York Mets,100,-120,0.47826,0.52174,0.04545,6
2022-10-01,Chicago Cubs,Cincinnati Reds,-139,118,0.55906,0.44094,0.04031,6
2022-10-01,Cleveland Guardians,Kansas City Royals,-174,148,0.61188,0.38812,0.03893,6
2022-10-01,Detroit Tigers,Minnesota Twins,110,-130,0.45726,0.54274,0.04141,6
2022-10-01,Houston Astros,Tampa Bay Rays,-177,152,0.6169,0.3831,0.03581,6
2022-10-01,Los Angeles Angels,Texas Rangers,-162,138,0.5954,0.4046,0.03849,6
2022-10-01,Los Angeles Dodgers,Colorado Rockies,-415,329,0.77563,0.22437,0.03893,6
2022-10-01,Milwaukee Brewers,Miami Marlins,-188,158,0.62766,0.37234,0.04098,6
2022-10-01,New York Yankees,Baltimore Orioles,-240,200,0.67925,0.32075,0.03922,6
2022-10-01,San Diego Padres,Chicago White Sox,-222,180,0.65891,0.34109,0.04707,6
2022-10-01,San Francisco Giants,Arizona Diamondbacks,-135,111,0.54795,0.45205,0.0484,6
2022-10-01,Seattle Mariners,Athletics,-245,200,0.68056,0.31944,0.04348,6
2022-10-01,St. Louis Cardinals,Pittsburgh Pirates,-212,180,0.65565,0.34435,0.03714,6
2022-10-01,Toronto Blue Jays,Boston Red Sox,-165,140,0.59909,0.40091,0.03931,6
2022-10-02,Atlanta Braves,New York Mets,-130,110,0.54274,0.45726,0.04141,6
2022-10-02,Chicago Cubs,Cincinnati Reds,-190,158,0.62809,0.37191,0.04217,6
2022-10-02,Cleveland Guardians,Kansas City Royals,-239,196,0.67567,0.32433,0.04342,6
2022-10-02,Detroit Tigers,Minnesota Twins,-106,-115,0.48974,0.51026,0.04827,6
2022-10-02,Houston Astros,Tampa Bay Rays,-166,142,0.60212,0.39788,0.03643,6
2022-10-02,Los Angeles Angels,Texas Rangers,-138,116,0.55546,0.44454,0.04387,6
2022-10-02,Los Angeles Dodgers,Colorado Rockies,-262,212,0.69353,0.30647,0.04414,6
2022-10-02,Milwaukee Brewers,Miami Marlins,-177,148,0.61263,0.38737,0.04303,6
2022-10-02,New York Yankees,Baltimore Orioles,-138,110,0.54869,0.45131,0.05514,6
2022-10-02,San Diego Padres,Chicago White Sox,-110,-109,0.50109,0.49891,0.04534,6
2022-10-02,San Francisco Giants,Arizona Diamondbacks,-128,108,0.53766,0.46234,0.04237,6
2022-10-02,Seattle Mariners,Athletics,-276,218,0.69985,0.30015,0.04936,6
2022-10-02,St. Louis Cardinals,Pittsburgh Pirates,-187,156,0.62565,0.37435,0.04143,6
2022-10-02,Toronto Blue Jays,Boston Red Sox,-222,180,0.65891,0.34109,0.04707,6
2022-10-02,Washington Nationals,Philadelphia Phillies,218,-270,0.30149,0.69851,0.04469,6
2022-10-03,Baltimore Orioles,Toronto Blue Jays,102,-124,0.47103,0.52897,0.04839,6
2022-10-03,Boston Red Sox,Tampa Bay Rays,119,-140,0.43871,0.56129,0.04082,6
2022-10-03,Cincinnati Reds,Chicago Cubs,-125,105,0.53247,0.46753,0.04336,6
2022-10-03,Cleveland Guardians,Kansas City Royals,-202,166,0.64018,0.35982,0.04481,6
2022-10-03,Miami Marlins,Atlanta Braves,138,-164,0.40398,0.59602,0.04226,6
2022-10-03,Milwaukee Brewers,Arizona Diamondbacks,-260,210,0.69125,0.30875,0.0448,6
2022-10-03,Pittsburgh Pirates,St. Louis Cardinals,134,-156,0.41243,0.58757,0.0384,6
2022-10-03,Texas Rangers,New York Yankees,121,-144,0.43363,0.56637,0.04349,6
2022-10-04,Athletics,Los Angeles Angels,144,-176,0.39149,0.60851,0.04686,6
