fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Rafael Dos Anjos,2008-11-15,UFC 91: Couture vs Lesnar,Jeremy Stephens,L,KO/TKO,3,,Lightweight Bout,,ww
Demian Maia,2008-11-15,UFC 91: Couture vs Lesnar,Nate Quarry,W,Submission,1,,Middleweight Bout,,ww
Nate Diaz,2009-01-31,UFC 94: St-Pierre vs Penn 2,Clay Guida,L,Decision - Split,3,Split,Lightweight Bout,,ww
Jon Jones,2009-01-31,,Stephan Bonnar,W,Decision,3,Unanimous,,,lhw
Gleison Tibau,2009-02-07,UFC Fight Night: Lauzon vs Stephens,Rich Clementi,W,Submission,1,,Lightweight Bout,,ww
Demian Maia,2009-02-21,UFC 95: Sanchez vs Stevenson,Chael Sonnen,W,Submission,1,,Middleweight Bout,,ww
Rafael Dos Anjos,2009-04-01,UFC Fight Night: Condit vs Kampmann,Tyson Griffin,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2009-04-01,UFC Fight Night: Condit vs Kampmann,Jeremy Stephens,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Ed Herman,2009-04-18,,David Loiseau,W,Decision,3,Unanimous,,,lhw
Anderson Silva,2009-04-18,UFC 97: Redemption,Thales Leites,W,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Peter Sobotta,2009-06-13,UFC 99: The Comeback,Paul Taylor,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Nate Diaz,2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Joe Stevenson,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Melvin Guillard,L,Decision - Split,3,Split,Lightweight Bout,,ww
Jon Jones,2009-07-11,,Jake O'Brien,W,Submission,2,,,,lhw
Anderson Silva,2009-08-08,UFC 101: Declaration,Forrest Griffin,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Johny Hendricks,2009-08-08,,Amir Sadollah,W,KO/TKO,1,,,,lhw
Ed Herman,2009-08-29,,Aaron Simpson,L,KO/TKO,2,,,,lhw
Demian Maia,2009-08-29,UFC 102: Couture vs Nogueira,Nate Marquardt,L,KO/TKO,1,,Middleweight Bout,,ww
Nate Diaz,2009-09-16,UFC Fight Night: Diaz vs Guillard,Melvin Guillard,W,Submission,2,,Lightweight Bout,,ww
Rafael Dos Anjos,2009-09-19,UFC 103: Franklin vs Belfort,Rob Emerson,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Nik Lentz,2009-09-19,UFC 103: Franklin vs Belfort,Rafaello Oliveira,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Igor Pokrajac,2009-09-19,,Vladimir Matyushenko,L,Decision,3,Unanimous,,,lhw
Gleison Tibau,2009-10-24,UFC 104: Machida vs Shogun,Josh Neer,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Alexander Gustafsson,2009-11-14,,Jared Hamman,W,KO/TKO,1,,,,lhw
Jon Jones,2009-12-05,,Matt Hamill,L,DQ,1,,,,lhw
Johny Hendricks,2009-12-12,,Ricardo Funch,W,Decision,3,Unanimous,,,lhw
Nate Diaz,2010-01-11,UFC Fight Night: Maynard vs Diaz,Gray Maynard,L,Decision - Split,3,Split,Lightweight Bout,,ww
Nik Lentz,2010-01-11,UFC Fight Night: Maynard vs Diaz,Thiago Tavares,D,Decision - Majority,3,Majority,Lightweight Bout,,ww
Rafael Dos Anjos,2010-01-11,UFC Fight Night: Maynard vs Diaz,Kyle Bradley,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Demian Maia,2010-02-06,UFC 109: Relentless,Dan Miller,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Igor Pokrajac,2010-02-20,,James Te Huna,L,KO/TKO,3,,,,lhw
Jon Jones,2010-03-21,,Brandon Vera,W,KO/TKO,1,,,,lhw
Nate Diaz,2010-03-27,UFC 111: St-Pierre vs Hardy,Rory Markham,W,KO/TKO,1,,Welterweight Bout,,ww
Nik Lentz,2010-03-31,UFC Fight Night: Florian vs Gomi,Rob Emerson,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Gleison Tibau,2010-03-31,UFC Fight Night: Florian vs Gomi,Caol Uno,W,KO/TKO,1,,Lightweight Bout,,ww
Demian Maia,2010-04-10,UFC 112: Invincible,Anderson Silva,L,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,ww
Alexander Gustafsson,2010-04-10,,Phil Davis,L,Submission,1,,,,lhw
Anderson Silva,2010-04-10,UFC 112: Invincible,Demian Maia,W,Decision - Unanimous,5,Unanimous,UFC Middleweight Title Bout,,mw
Rafael Dos Anjos,2010-04-10,UFC 112: Invincible,Terry Etim,W,Submission,2,,Lightweight Bout,,ww
Johny Hendricks,2010-05-08,,TJ Grant,W,Decision,3,Majority,,,lhw
Peter Sobotta,2010-06-12,UFC 115: Liddell vs Franklin,James Wilks,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Brad Tavares,2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Seth Baczynski,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Seth Baczynski,2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Brad Tavares,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Court McGee,2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Kris McCray,W,Submission,2,,Ultimate Fighter 11 Middleweight Tournament Title Bout,,ww
David Branch,2010-07-03,UFC 116: Lesnar vs Carwin,Gerald Harris,L,KO/TKO,3,,Middleweight Bout,,mw
Igor Pokrajac,2010-08-01,,James Irvin,W,Submission,1,,,,lhw
Jon Jones,2010-08-01,,Vladimir Matyushenko,W,KO/TKO,1,,,,lhw
Charles Oliveira,2010-08-01,UFC Live: Jones vs Matyushenko,Darren Elkins,W,Submission,1,,Lightweight Bout,,ww
Anderson Silva,2010-08-07,UFC 117: Silva vs Sonnen,Chael Sonnen,W,Submission,5,,UFC Middleweight Title Bout,,mw
Johny Hendricks,2010-08-07,,Charlie Brenneman,W,KO/TKO,2,,,,lhw
Rafael Dos Anjos,2010-08-07,UFC 117: Silva vs Sonnen,Clay Guida,L,Submission,3,,Lightweight Bout,,ww
Demian Maia,2010-08-28,UFC 118: Edgar vs Penn 2,Mario Miranda,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Nik Lentz,2010-08-28,UFC 118: Edgar vs Penn 2,Andre Winner,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Nate Diaz,2010-08-28,UFC 118: Edgar vs Penn 2,Marcus Davis,W,Submission,3,,Welterweight Bout,,ww
David Branch,2010-09-15,UFC Fight Night: Marquardt vs Palhares,Tomasz Drwal,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Rafael Natal,2010-09-15,UFC Fight Night: Marquardt vs Palhares,Rich Attonito,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Gleison Tibau,2010-09-15,UFC Fight Night: Marquardt vs Palhares,Jim Miller,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Charles Oliveira,2010-09-15,UFC Fight Night: Marquardt vs Palhares,Efrain Escudero,W,Submission,3,,Lightweight Bout,,ww
Alexander Gustafsson,2010-10-16,,Cyrille Diabate,W,Submission,2,,,,lhw
Court McGee,2010-10-23,UFC 121: Lesnar vs Velasquez,Ryan Jensen,W,Submission,3,,Middleweight Bout,,ww
Peter Sobotta,2010-11-13,UFC 122: Marquardt vs Okami,Amir Sadollah,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Nik Lentz,2010-11-20,UFC 123: Rampage vs Machida,Tyson Griffin,W,Decision - Split,3,Split,Lightweight Bout,,ww
Johny Hendricks,2010-12-04,,Rick Story,L,Decision,3,Unanimous,,,lhw
Igor Pokrajac,2010-12-04,,Stephan Bonnar,L,Decision,3,Unanimous,,,lhw
David Branch,2010-12-04,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Rich Attonito,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Demian Maia,2010-12-04,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Kendall Grove,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Charles Oliveira,2010-12-11,UFC 124: St-Pierre vs Koscheck 2,Jim Miller,L,Submission,1,,Lightweight Bout,,ww
Rafael Natal,2010-12-11,UFC 124: St-Pierre vs Koscheck 2,Jesse Bongfeldt,D,Decision - Majority,3,Majority,Middleweight Bout,,mw
Dustin Poirier,2011-01-01,UFC 125: Resolution,Josh Grispi,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Brad Tavares,2011-01-01,UFC 125: Resolution,Phil Baroni,W,KO/TKO,1,,Middleweight Bout,,mw
Nate Diaz,2011-01-01,UFC 125: Resolution,Dong Hyun Kim,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Donald Cerrone,2011-02-05,UFC 126: Silva vs Belfort,Paul Kelly,W,Submission,2,,Lightweight Bout,,ww
Jon Jones,2011-02-05,,Ryan Bader,W,Submission,2,,,,lhw
Anderson Silva,2011-02-05,UFC 126: Silva vs Belfort,Vitor Belfort,W,KO/TKO,1,,UFC Middleweight Title Bout,,mw
Demetrious Johnson,2011-02-05,UFC 126: Silva vs Belfort,Norifumi Yamamoto,W,Decision - Unanimous,3,Unanimous,,,flw
Alexander Gustafsson,2011-02-26,,James Te Huna,W,Submission,1,,,,lhw
Chris Weidman,2011-03-03,,Alessio Sakara,W,Decision,3,Unanimous,,,lhw
Igor Pokrajac,2011-03-03,,Todd Brown,W,KO/TKO,1,,,,lhw
David Branch,2011-03-03,UFC Live: Sanchez vs Kampmann,Rousimar Palhares,L,Submission,2,,Middleweight Bout,,mw
Gleison Tibau,2011-03-19,UFC 128: Shogun vs Jones,Kurt Pellegrino,W,Decision - Split,3,Split,Lightweight Bout,,ww
Jon Jones,2011-03-19,,Mauricio Rua,W,KO/TKO,3,,,,lhw
Joseph Benavidez,2011-03-19,UFC 128: Shogun vs Jones,Ian Loveland,W,Decision - Unanimous,3,Unanimous,,,flw
Nik Lentz,2011-03-26,UFC Fight Night: Nogueira vs Davis,Waylon Lowe,W,Submission,3,,Lightweight Bout,,ww
Johny Hendricks,2011-03-26,,TJ Waldburger,W,KO/TKO,1,,,,lhw
Jose Aldo,2011-04-30,UFC 129: St-Pierre vs Shields,Mark Hominick,W,Decision,5,Unanimous,,,bw
Nate Diaz,2011-04-30,UFC 129: St-Pierre vs Shields,Rory MacDonald,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Demetrious Johnson,2011-05-28,UFC 130: Rampage vs Hamill,Miguel Torres,W,Decision - Unanimous,3,Unanimous,,,flw
Gleison Tibau,2011-05-28,UFC 130: Rampage vs Hamill,Rafaello Oliveira,W,Submission,2,,Lightweight Bout,,ww
Ed Herman,2011-06-04,,Tim Credeur,W,KO/TKO,1,,,,lhw
Donald Cerrone,2011-06-11,UFC 131: Dos Santos vs Carwin,Vagner Rocha,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Chris Weidman,2011-06-11,,Jesse Bongfeldt,W,Submission,1,,,,lhw
Dustin Poirier,2011-06-11,UFC 131: Dos Santos vs Carwin,Jason Young,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Demian Maia,2011-06-11,UFC 131: Dos Santos vs Carwin,Mark Munoz,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Charles Oliveira,2011-06-26,UFC Live: Kongo vs Barry,Nik Lentz,NC,Overturned,2,,Lightweight Bout,,ww
Nik Lentz,2011-06-26,UFC Live: Kongo vs Barry,Charles Oliveira,NC,Overturned,2,,Lightweight Bout,,ww
Brad Tavares,2011-07-02,UFC 132: Cruz vs Faber,Aaron Simpson,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Rafael Dos Anjos,2011-07-02,UFC 132: Cruz vs Faber,George Sotiropoulos,W,KO/TKO,1,,Lightweight Bout,,ww
Johny Hendricks,2011-08-06,,Mike Pierce,W,Decision,3,Split,,,lhw
Alexander Gustafsson,2011-08-06,,Matt Hamill,W,KO/TKO,2,,,,lhw
Rafael Natal,2011-08-06,UFC 133: Evans vs Ortiz 2,Paul Bradley,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Donald Cerrone,2011-08-14,UFC Live: Hardy vs Lytle,Charles Oliveira,W,KO/TKO,1,,Lightweight Bout,,ww
Joseph Benavidez,2011-08-14,UFC Live: Hardy vs Lytle,Eddie Wineland,W,Decision - Unanimous,3,Unanimous,,,flw
Ed Herman,2011-08-14,,Kyle Noke,W,Submission,1,,,,lhw
Charles Oliveira,2011-08-14,UFC Live: Hardy vs Lytle,Donald Cerrone,L,KO/TKO,1,,Lightweight Bout,,ww
Stanislav Nedkov,2011-08-27,,Luiz Cane,W,KO/TKO,1,,,,lhw
Anderson Silva,2011-08-27,UFC 134: Silva vs Okami,Yushin Okami,W,KO/TKO,2,,UFC Middleweight Title Bout,,mw
Seth Baczynski,2011-09-17,UFC Fight Night: Shields vs Ellenberger,Clay Harvison,W,Submission,2,,Welterweight Bout,,ww
Court McGee,2011-09-17,UFC Fight Night: Shields vs Ellenberger,Dongi Yang,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Nate Diaz,2011-09-24,UFC 135: Jones vs Rampage,Takanori Gomi,W,Submission,1,,Lightweight Bout,,ww
Jon Jones,2011-09-24,,Quinton Jackson,W,Submission,4,,,,lhw
Demetrious Johnson,2011-10-01,UFC Live: Cruz vs Johnson,Dominick Cruz,L,Decision - Unanimous,5,Unanimous,,,flw
Demian Maia,2011-10-08,UFC 136: Edgar vs Maynard 3,Jorge Santiago,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Jose Aldo,2011-10-08,UFC 136: Edgar vs Maynard 3,Kenny Florian,W,Decision,5,Unanimous,,,bw
Dustin Jacoby,2011-10-29,,Clifford Starks,L,Decision,3,Unanimous,,,lhw
Donald Cerrone,2011-10-29,UFC 137: Penn vs Diaz,Dennis Siver,W,Submission,1,,Lightweight Bout,,ww
Dustin Poirier,2011-11-12,UFC on FOX: Velasquez vs Dos Santos,Pablo Garza,W,Submission,2,,Featherweight Bout,,ww
Seth Baczynski,2011-11-19,UFC 139: Shogun vs Henderson,Matt Brown,W,Submission,2,,Welterweight Bout,,ww
Rafael Dos Anjos,2011-11-19,UFC 139: Shogun vs Henderson,Gleison Tibau,L,Decision - Split,3,Split,Lightweight Bout,,ww
Gleison Tibau,2011-11-19,UFC 139: Shogun vs Henderson,Rafael Dos Anjos,W,Decision - Split,3,Split,Lightweight Bout,,ww
Chris Weidman,2011-11-19,,Tom Lawlor,W,Submission,1,,,,lhw
John Dodson,2011-12-03,The Ultimate Fighter: Team Bisping vs Team Miller Finale,TJ Dillashaw,W,KO/TKO,1,,,,flw
Louis Gaudinot,2011-12-03,The Ultimate Fighter: Team Bisping vs Team Miller Finale,Johnny Bedford,L,KO/TKO,3,,,,flw
Dustin Pague,2011-12-03,The Ultimate Fighter: Team Bisping vs Team Miller Finale,John Albert,L,KO/TKO,1,,,,flw
Nik Lentz,2011-12-10,UFC 140: Jones vs Machida,Mark Bocek,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Jon Jones,2011-12-10,,Lyoto Machida,W,Submission,2,,,,lhw
Igor Pokrajac,2011-12-10,,Krzysztof Soszynski,W,KO/TKO,1,,,,lhw
Donald Cerrone,2011-12-30,UFC 141: Lesnar vs Overeem,Nate Diaz,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Nate Diaz,2011-12-30,UFC 141: Lesnar vs Overeem,Donald Cerrone,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Johny Hendricks,2011-12-30,,Jon Fitch,W,KO/TKO,1,,,,lhw
Alexander Gustafsson,2011-12-30,,Vladimir Matyushenko,W,KO/TKO,1,,,,lhw
Jose Aldo,2012-01-14,UFC 142: Aldo vs Mendes,Chad Mendes,W,KO/TKO,1,,,,bw
Jared Papazian,2012-01-20,UFC on FX: Guillard vs Miller,Mike Easton,L,Decision - Majority,3,Majority,,,flw
Demian Maia,2012-01-28,UFC on FOX: Evans vs Davis,Chris Weidman,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Dustin Jacoby,2012-01-28,,Chris Camozzi,L,Submission,3,,,,lhw
Nik Lentz,2012-01-28,UFC on FOX: Evans vs Davis,Evan Dunham,L,TKO - Doctor's Stoppage,2,,Lightweight Bout,,ww
Chris Weidman,2012-01-28,,Demian Maia,W,Decision,3,Unanimous,,,lhw
Charles Oliveira,2012-01-28,UFC on FOX: Evans vs Davis,Eric Wisely,W,Submission,1,,Featherweight Bout,,ww
Stephen Thompson,2012-02-04,UFC 143: Diaz vs Condit,Dan Stittgen,W,KO/TKO,1,,Welterweight Bout,,ww
Rafael Natal,2012-02-04,UFC 143: Diaz vs Condit,Michael Kuiper,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Ed Herman,2012-02-04,,Clifford Starks,W,Submission,2,,,,lhw
Dustin Poirier,2012-02-04,UFC 143: Diaz vs Condit,Max Holloway,W,Submission,1,,Featherweight Bout,,ww
Max Holloway,2012-02-04,UFC 143: Diaz vs Condit,Dustin Poirier,L,Submission,1,,,,lw
Tim Means,2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,Bernardo Magalhaes,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Shawn Jordan,2012-03-02,UFC on FX: Alves vs Kampmann,Oli Thompson,W,KO/TKO,2,,Heavyweight Bout,,mw
Court McGee,2012-03-02,UFC on FX: Alves vs Kampmann,Constantinos Philippou,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,ww
Joseph Benavidez,2012-03-02,UFC on FX: Alves vs Kampmann,Yasuhiro Urushitani,W,KO/TKO,2,,,,flw
Demetrious Johnson,2012-03-02,UFC on FX: Alves vs Kampmann,Ian McCall,D,Decision - Majority,3,Majority,,,flw
Alexander Gustafsson,2012-04-14,,Thiago Silva,W,Decision,3,Unanimous,,,lhw
Stephen Thompson,2012-04-21,UFC 145: Jones vs Evans,Matt Brown,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Jon Jones,2012-04-21,,Rashad Evans,W,Decision,5,Unanimous,,,lhw
John Dodson,2012-05-05,UFC on FOX: Diaz vs Miller,Tim Elliott,W,Decision - Unanimous,3,Unanimous,,,flw
Tim Elliott,2012-05-05,UFC on FOX: Diaz vs Miller,John Dodson,L,Decision - Unanimous,3,Unanimous,,,flw
Nate Diaz,2012-05-05,UFC on FOX: Diaz vs Miller,Jim Miller,W,Submission,2,,Lightweight Bout,,ww
Johny Hendricks,2012-05-05,,Josh Koscheck,W,Decision,3,Split,,,lhw
Louis Gaudinot,2012-05-05,UFC on FOX: Diaz vs Miller,John Lineker,W,Submission,2,,,,flw
Rafael Dos Anjos,2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,Kamal Shalorus,W,Submission,1,,Lightweight Bout,,ww
Igor Pokrajac,2012-05-15,,Fabio Maldonado,W,Decision,3,Unanimous,,,lhw
Dustin Poirier,2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,Chan Sung Jung,L,Submission,4,,Featherweight Bout,,ww
Brad Tavares,2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,Dongi Yang,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Donald Cerrone,2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,Jeremy Stephens,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Glover Teixeira,2012-05-26,UFC 146: Dos Santos vs Mir,Kyle Kingsbury,W,Submission,1,,Light Heavyweight Bout,,mw
Charles Oliveira,2012-06-01,The Ultimate Fighter: Live Finale,Jonathan Brookins,W,Submission,2,,Featherweight Bout,,ww
Max Holloway,2012-06-01,The Ultimate Fighter: Live Finale,Pat Schilling,W,Decision - Unanimous,3,Unanimous,,,lw
Michael Chiesa,2012-06-01,The Ultimate Fighter: Live Finale,Al Iaquinta,W,Submission,1,,Ultimate Fighter 15 Lightweight Tournament Title Bout,,ww
Demetrious Johnson,2012-06-08,UFC on FX: Johnson vs McCall,Ian McCall,W,Decision - Unanimous,3,Unanimous,,,flw
Dustin Pague,2012-06-08,UFC on FX: Johnson vs McCall,Jared Papazian,W,Submission,1,,,,flw
Jared Papazian,2012-06-08,UFC on FX: Johnson vs McCall,Dustin Pague,L,Submission,1,,,,flw
Tim Means,2012-06-08,UFC on FX: Johnson vs McCall,Justin Salas,W,KO/TKO,1,,Lightweight Bout,,ww
Seth Baczynski,2012-06-08,UFC on FX: Johnson vs McCall,Lance Benoist,W,Decision - Split,3,Split,Welterweight Bout,,ww
Dustin Pague,2012-06-22,UFC on FX: Maynard vs Guida,Ken Stone,L,Decision - Split,3,Split,,,flw
Sergio Moraes,2012-06-23,UFC 147: Silva vs Franklin 2,Cezar Ferreira,L,Decision - Unanimous,3,Unanimous,Ultimate Fighter Brazil 1 Middleweight Tournament Title Bout,,ww
Anderson Silva,2012-07-07,UFC 148: Silva vs Sonnen 2,Chael Sonnen,W,KO/TKO,2,,UFC Middleweight Title Bout,,mw
Gleison Tibau,2012-07-07,UFC 148: Silva vs Sonnen 2,Khabib Nurmagomedov,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Demian Maia,2012-07-07,UFC 148: Silva vs Sonnen 2,Dong Hyun Kim,W,KO/TKO,1,,Welterweight Bout,,ww
Chris Weidman,2012-07-11,,Mark Munoz,W,KO/TKO,2,,,,lhw
Rafael Natal,2012-07-11,UFC on FUEL TV: Munoz vs Weidman,Andrew Craig,L,KO/TKO,2,,Middleweight Bout,,mw
Rafael Dos Anjos,2012-07-11,UFC on FUEL TV: Munoz vs Weidman,Anthony Njokuani,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Shawn Jordan,2012-07-21,UFC 149: Faber vs Barao,Cheick Kongo,L,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,mw
Court McGee,2012-07-21,UFC 149: Faber vs Barao,Nick Ring,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Donald Cerrone,2012-08-11,UFC 150: Henderson vs Edgar II,Melvin Guillard,W,KO/TKO,1,,Lightweight Bout,,ww
Max Holloway,2012-08-11,UFC 150: Henderson vs Edgar II,Justin Lawrence,W,KO/TKO,2,,,,lw
Chico Camus,2012-08-11,UFC 150: Henderson vs Edgar II,Dustin Pague,W,Decision - Unanimous,3,Unanimous,,,flw
Dustin Pague,2012-08-11,UFC 150: Henderson vs Edgar II,Chico Camus,L,Decision - Unanimous,3,Unanimous,,,flw
Ed Herman,2012-08-11,,Jake Shields,NC,Other,3,,,,lhw
Nik Lentz,2012-08-11,UFC 150: Henderson vs Edgar II,Eiji Mitsuoka,W,KO/TKO,1,,Featherweight Bout,,ww
Jon Jones,2012-09-22,,Vitor Belfort,W,Submission,4,,,,lhw
Demetrious Johnson,2012-09-22,UFC 152: Jones vs Belfort,Joseph Benavidez,W,Decision - Split,5,Split,,,flw
Charles Oliveira,2012-09-22,UFC 152: Jones vs Belfort,Cub Swanson,L,KO/TKO,1,,Featherweight Bout,,ww
Joseph Benavidez,2012-09-22,UFC 152: Jones vs Belfort,Demetrious Johnson,L,Decision - Split,5,Split,,,flw
Igor Pokrajac,2012-09-22,,Vinny Magalhaes,L,Submission,2,,,,lhw
Seth Baczynski,2012-09-22,UFC 152: Jones vs Belfort,Simeon Thoresen,W,KO/TKO,1,,Welterweight Bout,,ww
Brad Tavares,2012-09-29,UFC on FUEL TV: Struve vs Miocic,Tom Watson,W,Decision - Split,3,Split,Middleweight Bout,,mw
Gunnar Nelson,2012-09-29,UFC on FUEL TV: Struve vs Miocic,DaMarques Johnson,W,Submission,1,,Catch Weight Bout,,ww
Jimi Manuwa,2012-09-29,,Kyle Kingsbury,W,KO/TKO,2,,,,lhw
John Dodson,2012-10-05,UFC on FX: Browne vs Bigfoot,Jussier Formiga,W,KO/TKO,2,,,,flw
Jussier Formiga,2012-10-05,UFC on FX: Browne vs Bigfoot,John Dodson,L,KO/TKO,2,,,,flw
Gleison Tibau,2012-10-13,UFC 153: Silva vs Bonnar,Francisco Trinaldo,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Demian Maia,2012-10-13,UFC 153: Silva vs Bonnar,Rick Story,W,Submission,1,,Welterweight Bout,,ww
Anderson Silva,2012-10-13,UFC 153: Silva vs Bonnar,Stephan Bonnar,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Glover Teixeira,2012-10-13,UFC 153: Silva vs Bonnar,Fabio Maldonado,W,TKO - Doctor's Stoppage,2,,Light Heavyweight Bout,,mw
Sergio Moraes,2012-10-13,UFC 153: Silva vs Bonnar,Renee Forte,W,Submission,3,,Welterweight Bout,,ww
Stanislav Nedkov,2012-11-10,,Thiago Silva,NC,Other,3,,,,lhw
Johny Hendricks,2012-11-17,,Martin Kampmann,W,KO/TKO,1,,,,lhw
Rafael Dos Anjos,2012-11-17,UFC 154: St-Pierre vs Condit,Mark Bocek,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Alexander Gustafsson,2012-12-08,,Mauricio Rua,W,Decision,3,Unanimous,,,lhw
Nate Diaz,2012-12-08,UFC on FOX: Henderson vs Diaz,Benson Henderson,L,Decision - Unanimous,5,Unanimous,UFC Lightweight Title Bout,,ww
Igor Pokrajac,2012-12-14,,Joey Beltran,NC,Other,3,,,,lhw
Brad Scott,2012-12-14,UFC on FX: Sotiropoulos vs Pearson,Robert Whittaker,L,Decision - Unanimous,3,Unanimous,Ultimate Fighter Australia vs. UK Welterweight Tournament Title Bout,,mw
Robert Whittaker,2012-12-14,UFC on FX: Sotiropoulos vs Pearson,Brad Scott,W,Decision - Unanimous,3,Unanimous,Ultimate Fighter Australia vs. UK Welterweight Tournament Title Bout,,mw
Cody Donovan,2012-12-14,,Nick Penner,W,KO/TKO,1,,,,lhw
Seth Baczynski,2012-12-14,UFC on FX: Sotiropoulos vs Pearson,Mike Pierce,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Colton Smith,2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Mike Ricci,W,Decision - Unanimous,3,Unanimous,Ultimate Fighter 16 Welterweight Tournament Title Bout,,mw
Tim Elliott,2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Jared Papazian,W,Decision - Unanimous,3,Unanimous,,,flw
Jared Papazian,2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Tim Elliott,L,Decision - Unanimous,3,Unanimous,,,flw
Dustin Poirier,2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Jonathan Brookins,W,Submission,1,,Featherweight Bout,,ww
Derek Brunson,2012-12-29,UFC 155: Dos Santos vs Velasquez II,Chris Leben,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Max Holloway,2012-12-29,UFC 155: Dos Santos vs Velasquez II,Leonard Garcia,W,Decision - Split,3,Split,,,lw
Nik Lentz,2013-01-19,UFC on FX: Belfort vs Bisping,Diego Nunes,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Donald Cerrone,2013-01-26,UFC on FOX: Johnson vs Dodson,Anthony Pettis,L,KO/TKO,1,,Lightweight Bout,,ww
